"","name","address","category"
"158","스타일랩 부산서면점","부산광역시 부산진구 동천로 89","쇼핑,유통 > 패션"
"159","영풍문고 부산대점","부산광역시 금정구 부산대학로63번길 2 NC백화점부산대점 5F","쇼핑,유통 > 서점"
"160","다이소 부산해운대장산본점","부산광역시 해운대구 해운대로 785","쇼핑,유통 > 종합생활용품"
"161","지성문구프라자","부산광역시 금정구 부산대학로 40 지성문구프라자","쇼핑,유통 > 문구,팬시용품"
"162","홈플러스 부산반여점","부산광역시 해운대구 선수촌로21번길 37","쇼핑,유통 > 슈퍼,마트"
"163","북그러움","부산광역시 부산진구 서전로46번길 10-7 2층","서점 > 독립서점"
"164","다비치안경 경성대부경대소방서옆점","부산광역시 남구 수영로 277","쇼핑,유통 > 안경원"
"165","교보문고경성대부경대점","부산광역시 남구 수영로 324","쇼핑,유통 > 서점"
"166","캠핑고래 부산점","부산광역시 수영구 수영로741번길 120","쇼핑,유통 > 캠핑용품"
"167","덕천지하상가","부산광역시 북구 금곡대로 14","쇼핑,유통 > 상가,아케이드"
"168","스타일랩 부산서면점","부산광역시 부산진구 동천로 89","쇼핑,유통 > 패션"
"169","영풍문고 부산대점","부산광역시 금정구 부산대학로63번길 2 NC백화점부산대점 5F","쇼핑,유통 > 서점"
"170","다이소 부산해운대장산본점","부산광역시 해운대구 해운대로 785","쇼핑,유통 > 종합생활용품"
"171","파라디체주얼리","부산광역시 부산진구 범일로 156-1 3층","귀금속,보석 > 결혼예물"
"172","올리브영 아울렛부산연산점","부산광역시 연제구 반송로 16","쇼핑,유통 > 드럭스토어"
"173","쥬디스태화백화점","부산광역시 부산진구 중앙대로 694 쥬디스태화","쇼핑,유통 > 백화점"
"174","미유펫 부산본점","부산광역시 연제구 과정로344번길 1","반려동물 > 반려동물분양"
"175","해리슨테일러 부산점","부산광역시 수영구 광남로 69 1층","쇼핑,유통 > 남성정장"
"176","러쉬 롯데백화점부산본점","부산광역시 부산진구 가야대로 772 롯데백화점 2층","쇼핑,유통 > 화장품,향수"
"177","꽃분이네","부산광역시 중구 중구로 42 국제시장3공구","쇼핑,유통 > 패션잡화"
"178","홈플러스익스프레스 광안점","부산광역시 수영구 수영로 625 홈플러스슈퍼","쇼핑,유통 > 슈퍼,마트"
"179","다이소 부산대점","부산광역시 금정구 장전온천천로 55","쇼핑,유통 > 종합생활용품"
"180","교보문고 해운대바로드림센터","부산광역시 해운대구 해운대로 799","쇼핑,유통 > 서점"
"181","다이소 부산수영점","부산광역시 수영구 연수로 411 강일주유소","쇼핑,유통 > 종합생활용품"
"182","다이소 부산서면점","부산광역시 부산진구 중앙대로702번길 43","쇼핑,유통 > 종합생활용품"
"183","가구톡세상 부산점","부산광역시 강서구 유통단지1로57번가길 67 101동 가구톡세상 부산점","쇼핑,유통 > 가구"
"184","만어 본점","부산광역시 동래구 충렬대로 113","쇼핑,유통 > 낚시"
"185","김해공항면세점","부산광역시 강서구 공항진입로 108","쇼핑,유통 > 면세점"
"186","서원시장","부산광역시 동래구 충렬대로359번길 55","쇼핑,유통 > 시장"
"187","ABC마트부산광복점","부산광역시 중구 광복중앙로 2","쇼핑,유통 > 신발"
"188","베스트피쉬수족관 부산점","부산광역시 사상구 학장로 321","반려동물 > 수족관"
"189","오라컴퍼니","부산광역시 강서구 평강로229번길 29","쇼핑,유통 > 주방용품"
"190","일렉트로마트 신세계센텀시티몰점","부산광역시 해운대구 센텀4로 15 센텀시티몰 지하 2층","종합도소매 > 슈퍼,마트"
