"","name","address","category"
"197","오렌즈 창원점","경상남도 창원시 성산구 마디미로43번길 1 그랜드빌딩","쇼핑,유통 > 안경원"
"198","창녕장","경상남도 창녕군 창녕읍 교하길 15","쇼핑,유통 > 시장"
"199","다비치안경 진주중앙점","경상남도 진주시 진주대로 1058-2","쇼핑,유통 > 안경원"
"200","다이소 마산양덕점","경상남도 창원시 마산회원구 용마로 126","쇼핑,유통 > 종합생활용품"
"201","김해축산농협하나로마트 장유점","경상남도 김해시 번화2로 33","쇼핑,유통 > 슈퍼,마트"
"202","그랜드문고","경상남도 창원시 의창구 원이대로 587 정우상가","쇼핑,유통 > 서점"
"203","지안인테리어&가구","경상남도 창원시 의창구 원이대로 320 더시티세븐쇼핑몰","쇼핑,유통 > 가구"
"204","안녕 고래야","경상남도 양산시 물금읍 백호2길 7-7","쇼핑,유통 > 서점"
"205","토이앤맘 진주점","경상남도 진주시 진주대로 975","쇼핑,유통 > 유아,아동용품"
"206","신신낚시 통영점","경상남도 통영시 미수로 33","쇼핑,유통 > 낚시"
"207","캠핑고래 김해점","경상남도 김해시 칠산로335번길 6-22 캠핑고래 김해점","쇼핑,유통 > 캠핑용품"
"208","이마트에브리데이 거제수월점","경상남도 거제시 수양로 448-29","쇼핑,유통 > 슈퍼,마트"
"209","반송아이필프라자","경상남도 창원시 성산구 반송로 148-9","서비스,산업 > 물류,유통"
"210","얌테이블","경상남도 거제시 둔덕면 학산3길 40-2 얌테이블","쇼핑,유통 > 식료품"
"211","김해축산농협하나로마트 장유점","경상남도 김해시 번화2로 33","쇼핑,유통 > 슈퍼,마트"
"212","그랜드문고","경상남도 창원시 의창구 원이대로 587 정우상가","쇼핑,유통 > 서점"
"213","지안인테리어&가구","경상남도 창원시 의창구 원이대로 320 더시티세븐쇼핑몰","쇼핑,유통 > 가구"
"214","안녕 고래야","경상남도 양산시 물금읍 백호2길 7-7","쇼핑,유통 > 서점"
"215","토이앤맘 진주점","경상남도 진주시 진주대로 975","쇼핑,유통 > 유아,아동용품"
"216","신신낚시 통영점","경상남도 통영시 미수로 33","쇼핑,유통 > 낚시"
"217","캠핑고래 김해점","경상남도 김해시 칠산로335번길 6-22 캠핑고래 김해점","쇼핑,유통 > 캠핑용품"
"218","이마트에브리데이 거제수월점","경상남도 거제시 수양로 448-29","쇼핑,유통 > 슈퍼,마트"
"219","반송아이필프라자","경상남도 창원시 성산구 반송로 148-9","서비스,산업 > 물류,유통"
"220","얌테이블","경상남도 거제시 둔덕면 학산3길 40-2 얌테이블","쇼핑,유통 > 식료품"
"221","창원중고폰매입 아프리카폰","경상남도 창원시 성산구 마디미로 28 246호 상남시장제에이동","쇼핑,유통 > 휴대폰"
