"","name","address","category"
"63","행복한푸드커피","경상남도 김해시 가락로125번길 42","카페,디저트 > 카페"
"64","양지푸드","경상남도 사천시 송포공단길 70 양지푸드(주)","쇼핑,유통 > 전통식품"
"65","푸드미학","경상남도 창원시 마산합포구 3·15대로 154 월포 벽산블루밍","쇼핑,유통 > 반찬가게"
"66","맛샘푸드스토리","경상남도 김해시 관동로 114-1","한식 > 백반,가정식"
"67","J1푸드","경상남도 김해시 한림면 한림로442번길 3","제조업 > 식료품제조"
"68","진푸드시스템","경상남도 양산시 평산남로 11 1F","제조업 > 육류가공,제조"
"69","우성푸드","경상남도 사천시 진삼로 1345-2","음식점 > 한식"
"70","제이엠푸드","경상남도 창원시 의창구 대산면 진남로114번길 16","쇼핑,유통 > 전통식품"
"71","가우정푸드","경상남도 거창군 남상면 홍덕길 33","제조업 > 육류가공,제조"
"72","에스엘푸드","경상남도 함안군 군북면 함안산단7길 40 에스엘푸드","제조업 > 식료품제조"
"73","셰프리푸드트럭 창원점","경상남도 창원시 성산구 중앙대로 124 롯데백화점 창원점 지하1층","음식점 > 퓨전음식"
"74","진산푸드","경상남도 산청군 생비량면 지리산대로 4235 산청한방친환경식품","전통식품 > 떡,한과"
"75","합천애로컬푸드","경상남도 합천군 대양면 동부로 25","쇼핑,유통 > 직판장"
"76","마마뷔페","경상남도 함안군 칠서면 공단상가3길 38","음식점 > 한식"
"77","초목원현재푸드","경상남도 창원시 마산합포구 밤밭고개로 192","쇼핑,유통 > 슈퍼,마트"
"78","뉴푸드","경상남도 창녕군 남지읍 홍명길 9","제조업 > 식료품제조"
"79","오스타푸드","경상남도 통영시 광도면 안정1길 53","쇼핑,유통 > 반찬가게"
"80","경남푸드카빙전문요리학원","경상남도 사천시 사천읍 간산1길 32 1층","학원 > 요리학원"
"81","영농조합법인창녕로컬푸드","경상남도 창녕군 대지면 우포2로 1086","서비스,산업 > 기업"
"82","신요푸드시스템","경상남도 창원시 마산합포구 수산1길 46 주택","쇼핑,유통 > 식료품"
"83","다참","경상남도 김해시 김해대로2635번길 60-6","제조업 > 식료품제조"
"84","뉴그린푸드","경상남도 창녕군 계성면 물고개길 13-11","쇼핑,유통 > 가공식품"
"85","쉬림프푸드 전문몰 -에비몰","경상남도 창원시 성산구 반지로 30 반지무역","반려동물 > 수족관"
"86","롯데푸드 부산공장","경상남도 양산시 어곡공단4길 31 롯데후레쉬델리카(주)","제조업 > 식료품제조"
"87","스킨푸드 통영점","경상남도 통영시 중앙로 127 스킨푸드","쇼핑,유통 > 화장품,향수"
"88","산청푸드","경상남도 양산시 상북면 충렬로 574 지하1층","제조업 > 식료품제조"
"89","경남광역푸드뱅크","경상남도 창원시 마산회원구 팔용로 272 경남종합마산청소년","사회,복지 > 사회복지단체"
"90","시루로컬푸드","경상남도 양산시 물금읍 증산로 49-1","쇼핑,유통 > 식료품"
"91","스킨푸드 신세계백화점 김해점","경상남도 김해시 김해대로 2232 김해신세계백화점2층","쇼핑,유통 > 화장품,향수"
"92","씨엘하우스","경상남도 산청군 생초면 새실로 7-14","카페,디저트 > 빙수"
"93","한성푸드","경상남도 김해시 해반천로 16","한식 > 찌개,전골"
"94","스킨푸드 거제점","경상남도 거제시 고현동 99-11 스킨푸드","쇼핑,유통 > 화장품,향수"
"95","그린푸드서비스","경상남도 김해시 장유로149번길 50-1 재실","음식 > 급식"
"96","새남해농협 남해로컬푸드직매장","경상남도 남해군 고현면 남해대로 3487-4","쇼핑,유통 > 직판장"
"97","김해시종합사회복지관 김해시푸드마켓","경상남도 김해시 김해대로 2232","사회,복지 > 종합사회복지관"
"98","미래푸드","경상남도 양산시 북정13길 10-2 미래푸드","음식 > 급식"
"99","대광푸드","경상남도 거제시 거제중앙로27길 10","한식 > 백숙,삼계탕"
"100","샌드앤푸드 삼계점","경상남도 김해시 삼계중앙로 22 굿타임빌딩","음식점 > 샌드위치"
"101","성심마스타푸드","경상남도 창녕군 장마면 장마고곡로 177-52","제조업 > 조미료,식품첨가물제조"
"102","진주푸드마켓뱅크","경상남도 진주시 서장대로 281","사회,복지"
"103","뉴욕야시장네오푸드앤조이점","경상남도 김해시 월산로 162","한식 > 한정식"
"104","더푸드하우스 마산마트점","경상남도 창원시 마산회원구 삼호로 80 2층","푸드코트"
"105","스킨푸드 인제대점","경상남도 김해시 인제로 193","쇼핑,유통 > 화장품,향수"
"106","김해롯데워터파크푸드팰리스","경상남도 김해시 장유로 555","음식점 > 푸드코트"
"107","휴먼앤푸드","경상남도 김해시 분성로727번길 8-57 휴먼앤푸드","제조업 > 건강기능식품제조"
"108","미래로푸드","경상남도 진주시 비봉로33번길 14","쇼핑,유통 > 종합도소매"
"109","해드림푸드창녕공장","경상남도 창녕군 대지면 경남대로 4897-41","쇼핑,유통 > 육류"
"110","실내푸드트럭포차","경상남도 창녕군 부곡면 온천중앙로 20","술집 > 맥주,호프"
"111","성심마스타푸드","경상남도 창녕군 장마면 장마고곡로 177-52","제조업 > 조미료,식품첨가물제조"
"112","진주푸드마켓뱅크","경상남도 진주시 서장대로 281","사회,복지"
"113","뉴욕야시장네오푸드앤조이점","경상남도 김해시 월산로 162","한식 > 한정식"
"114","더푸드하우스 마산마트점","경상남도 창원시 마산회원구 삼호로 80 2층","푸드코트"
"115","스킨푸드 인제대점","경상남도 김해시 인제로 193","쇼핑,유통 > 화장품,향수"
"116","김해롯데워터파크푸드팰리스","경상남도 김해시 장유로 555","음식점 > 푸드코트"
"117","휴먼앤푸드","경상남도 김해시 분성로727번길 8-57 휴먼앤푸드","제조업 > 건강기능식품제조"
"118","미래로푸드","경상남도 진주시 비봉로33번길 14","쇼핑,유통 > 종합도소매"
"119","해드림푸드창녕공장","경상남도 창녕군 대지면 경남대로 4897-41","쇼핑,유통 > 육류"
"120","실내푸드트럭포차","경상남도 창녕군 부곡면 온천중앙로 20","술집 > 맥주,호프"
"121","창원과학체험관푸드트럭허가구역","경상남도 창원시 의창구 충혼로72번길 16","음식점 > 푸드트럭"
"122","삼성웰빙푸드 신라해장국","경상남도 김해시 한림면 김해대로 1047","한식 > 해장국"
"123","캠핑푸드마켓","경상남도 창원시 의창구 지귀로28번길 23","쇼핑,유통 > 슈퍼,마트"
"124","엠아이푸드 김해센터","경상남도 김해시 상동면 동북로437번길 138-94","서비스,산업 > 물류,유통"
"125","셰프리푸드트럭 진주점","경상남도 진주시 진주대로 1095 갤러리아백화점 진주점 지하 1층","음식점 > 퓨전음식"
"126","랑푸드시스템","경상남도 진주시 큰들로66번길 6","제조업 > 식료품제조"
"127","스킨푸드 마산삼계점","경상남도 창원시 마산회원구 내서읍 삼계로 6 스킨푸드","쇼핑,유통 > 화장품,향수"
"128","찡찡타이푸드","경상남도 양산시 장터1길 20","음식점 > 한식"
"129","농업회사법인보석푸드","경상남도 사천시 곤양면 구고속도로 1435","제조업 > 건강기능식품제조"
"130","윤푸드","경상남도 양산시 어실로 353-2","제조업 > 식료품제조"
"131","월드푸드마트","경상남도 거제시 아주로1길 2","쇼핑,유통 > 슈퍼,마트"
"132","스킨푸드거제옥포점","경상남도 거제시 옥포로 199","쇼핑,유통 > 화장품,향수"
"133","오에스푸드","경상남도 김해시 진영읍 본산1로56번길 84","제조업 > 육류가공,제조"
"134","착한푸드","경상남도 김해시 대청로104번길 27-31","쇼핑,유통 > 정육점"
"135","네오푸드앤조이주차장입출구","경상남도 김해시 부곡동","도로시설 > 방면정보"
"136","비앤에스푸드 다정도시락사업부","경상남도 창원시 마산회원구 내서읍 삼계숲길 34 삼계고추방앗간","서비스,산업 > 기업"
"137","오감푸드시스템","경상남도 양산시 양주4길 15-1","음식 > 급식"
"138","푸드마켓 장유점","경상남도 김해시 대청로 117","음식점 > 야식"
"139","푸드터미널","경상남도 진주시 논개길 65","음식점 > 한식뷔페"
"140","우리홀푸드마트2호점주차장","경상남도 김해시 진영읍 김해대로 364","교통시설 > 주차장"
"141","메밀푸드","경상남도 김해시 내덕로56번길 20-1","한식 > 국수"
"142","스킨푸드 창녕점","경상남도 창녕군 창녕읍 교상길 1","쇼핑,유통 > 화장품,향수"
"143","더행복한푸드시스템","경상남도 거제시 수양1길 67","제조업 > 식료품제조"
"144","마미푸드","경상남도 창원시 마산회원구 내서읍 광려천북로 184","분식 > 종합분식"
"145","디에이치푸드","경상남도 창원시 의창구 도계로4번길 23","음식점 > 치킨,닭강정"
"146","참솥푸드마산","경상남도 창원시 마산합포구 3·15대로 218-10","음식점 > 야식"
"147","현대그린푸드 영남센터","경상남도 밀양시 부북면 사포로 127","시설,건물 > 농공시설"
"148","참다올푸드","경상남도 창원시 성산구 공단로 116","음식 > 급식"
"149","창원희망푸드마켓","경상남도 창원시 의창구 신사로 7","쇼핑,유통 > 식료품"
"150","제이원푸드","경상남도 양산시 동면 금오4길 25-9","기업 > 프랜차이즈본사"
"151","올가홀푸드","경상남도 창원시 성산구 가음로 100","쇼핑,유통 > 식료품"
"152","풀무원푸드앤컬처 부산CK공장","경상남도 김해시 분성로541번길 28-4","음식 > 급식"
"153","푸드림스","경상남도 함안군 가야읍 가야19길 8","제조업 > 식료품제조"
"154","하주푸드","경상남도 김해시 삼안로60번길 10","제조업 > 음료제조"
"155","로컬푸드서비스","경상남도 김해시 진례면 진례로256번길 20","음식 > 급식"
"156","동서푸드통돼지바베큐","경상남도 창원시 성산구 불모산동 145","한식 > 육류,고기요리"
"157","스킨푸드 남해점","경상남도 남해군 남해읍 화전로 75-2 스킨푸드","쇼핑,유통 > 화장품,향수"
"158","나눔푸드","경상남도 창원시 의창구 동읍 신방로39번길 57","서비스,산업 > 기업"
"159","대일푸드","경상남도 창원시 마산합포구 어시장7길 115","쇼핑,유통 > 건어물"
"160","돈우돈푸드","경상남도 사천시 사남면 하동길 13","쇼핑,유통 > 정육점"
"161","올가홀푸드","경상남도 창원시 성산구 가음로 100","쇼핑,유통 > 식료품"
"162","풀무원푸드앤컬처 부산CK공장","경상남도 김해시 분성로541번길 28-4","음식 > 급식"
"163","푸드림스","경상남도 함안군 가야읍 가야19길 8","제조업 > 식료품제조"
"164","하주푸드","경상남도 김해시 삼안로60번길 10","제조업 > 음료제조"
"165","로컬푸드서비스","경상남도 김해시 진례면 진례로256번길 20","음식 > 급식"
"166","동서푸드통돼지바베큐","경상남도 창원시 성산구 불모산동 145","한식 > 육류,고기요리"
"167","스킨푸드 남해점","경상남도 남해군 남해읍 화전로 75-2 스킨푸드","쇼핑,유통 > 화장품,향수"
"168","나눔푸드","경상남도 창원시 의창구 동읍 신방로39번길 57","서비스,산업 > 기업"
"169","대일푸드","경상남도 창원시 마산합포구 어시장7길 115","쇼핑,유통 > 건어물"
"170","돈우돈푸드","경상남도 사천시 사남면 하동길 13","쇼핑,유통 > 정육점"
"171","케이푸드시스템정직한밥상","경상남도 고성군 하이면 하이로 280","음식점 > 한식"
"172","그집푸드","경상남도 양산시 동면 금오12길 28","기업 > 프랜차이즈본사"
"173","에스에이치푸드","경상남도 김해시 김해대로2635번길 52","쇼핑,유통 > 가공식품"
"174","금오푸드원","경상남도 김해시 인제로 127-1","제조업 > 육류가공,제조"
"175","새참푸드 신세계백화점마산점","경상남도 창원시 마산합포구 합포로 251 지하 1층","음식점 > 도시락,컵밥"
"176","굿앤푸드","경상남도 양산시 어실로 461","제조업 > 곡물가공,제조"
"177","유앤미푸드텍","경상남도 김해시 분성로557번길 28-19","제조업 > 식료품가공기계제조"
