"","name","address","category"
"1","버거킹 울산신정FS점","울산광역시 남구 봉월로 97","양식 > 햄버거"
"2","우리에프에스","울산광역시 남구 문수로 291 2층","서비스,산업 > 기업"
"3","에프에스동현","울산광역시 울주군 웅촌면 고연공단2길 120-1","서비스,산업 > 기업"
"4","올포원FS","울산광역시 중구 백양로 114","서비스,산업 > 기업"
"5","세원에프에스","울산광역시 동구 화잠7길 14","음식 > 급식"
"6","다향오리에프에스","울산광역시 울주군 웅촌면 삼동로 1684","제조업 > 육류가공,제조"
