"","name","address","category"
"65","제이엘푸드","부산광역시 사상구 학장로95번길 60","쇼핑,유통 > 가공식품"
"66","성원푸드엔써비스","부산광역시 해운대구 재송1로46번길 53","쇼핑,유통 > 식료품"
"67","수영구함께하는푸드마켓","부산광역시 수영구 연수로249번길 12-18","쇼핑,유통 > 식료품"
"68","시스템푸드에프엔씨","부산광역시 부산진구 동평로405번길 109","쇼핑,유통 > 식료품"
"69","하나로푸드","부산광역시 수영구 구락로 149","쇼핑,유통 > 식료품"
"70","산들푸드","부산광역시 사상구 낙동대로 759-17","쇼핑,유통 > 조미료,향신료"
"71","제이앤제이 푸드","부산광역시 강서구 새진목길 48","쇼핑,유통 > 전통식품"
"72","바오엣홈 홈푸드코리아","부산광역시 북구 덕천로38번길 52","쇼핑,유통 > 가공식품"
"73","올반푸드","부산광역시 강서구 경전철로 51","쇼핑,유통 > 식료품"
"74","디엠푸드","부산광역시 해운대구 선수촌로208번길 81-6","쇼핑,유통 > 식료품"
"75","햇살존푸드","부산광역시 기장군 기장읍 차성남로51번길 7 기장 마르빌","쇼핑,유통 > 식료품"
"76","굿푸드","부산광역시 강서구 강동동 196-6","쇼핑,유통 > 가공식품"
"77","이론푸드","부산광역시 해운대구 재반로103번가길 31","쇼핑,유통 > 식료품"
"78","모닝푸드","부산광역시 사상구 새벽로 131 5동213-1호","쇼핑,유통 > 가공식품"
"79","한걸음푸드","부산광역시 동래구 여고로 5 1층","쇼핑,유통 > 가공식품"
"80","성창푸드","부산광역시 강서구 유통단지1로57번가길 47","쇼핑,유통 > 가공식품"
"81","태풍푸드","부산광역시 부산진구 신천대로65번길 73","쇼핑,유통 > 가공식품"
"82","대상푸드서비스","부산광역시 강서구 낙동남로 680","쇼핑,유통 > 가공식품"
"83","에이젯푸드","부산광역시 북구 사상로583번길 6","쇼핑,유통 > 식료품"
"84","푸드웰","부산광역시 사하구 감천항로190번길 13","쇼핑,유통 > 식료품"
"85","골든벨푸드","부산광역시 연제구 과정로276번길 28","쇼핑,유통 > 식료품"
"86","승욱푸드","부산광역시 기장군 정관읍 방곡로 55-20","쇼핑,유통 > 식료품"
"87","영남푸드","부산광역시 사상구 사상로 569","쇼핑,유통 > 식료품"
"88","선명푸드","부산광역시 기장군 정관읍 방곡5로 18","쇼핑,유통 > 식료품"
"89","탑푸드","부산광역시 동래구 온천동 186-134","쇼핑,유통 > 식료품"
"90","건강한푸드","부산광역시 동래구 온천천로431번길 29","쇼핑,유통 > 가공식품"
"91","푸드가","부산광역시 사하구 하신번영로 438-10","쇼핑,유통 > 가공식품"
"92","훈남푸드","부산광역시 사상구 학감대로147번길 6 훈남푸드","쇼핑,유통 > 가공식품"
"93","동원푸드","부산광역시 사상구 모덕로67번길 151","쇼핑,유통 > 식료품"
"94","HR푸드서비스","부산광역시 남구 동명로131번길 50","쇼핑,유통 > 식료품"
"95","싱싱드림푸드","부산광역시 강서구 공항앞길85번길 22","쇼핑,유통 > 식료품"
"96","대박푸드","부산광역시 강서구 제도로 1149","쇼핑,유통 > 식료품"
"97","청운푸드","부산광역시 강서구 득천1길 32","쇼핑,유통 > 가공식품"
"98","오케이푸드","부산광역시 북구 낙동대로1582번길 8","쇼핑,유통 > 식료품"
